audio,sampling_rate,transcript
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
,16000,[SIGH]
,16000,[SNEEZE]
,16000,[SNIFF]
,16000,[THROAT-CLEARING]
,16000,[COUGH]
,16000,[LAUGHTER]
